x,y
5688.5000000000,0.1490531654
5688.0000000000,0.0862372672
5687.5000000000,0.0518569746
5687.0000000000,0.0442143642
5686.5000000000,0.0426473708
5686.0000000000,0.0420740139
5685.5000000000,0.0444759998
5685.0000000000,0.0717851790
5684.5000000000,0.0828394879
5684.0000000000,0.0602636475
5683.5000000000,0.0456287978
5683.0000000000,0.0416053840
5682.5000000000,0.0402020792
5682.0000000000,0.0402539845
5681.5000000000,0.0389579392
5681.0000000000,0.0388543980
5680.5000000000,0.0390097176
5680.0000000000,0.0384921701
5679.5000000000,0.0384921701
5679.0000000000,0.0389061660
5678.5000000000,0.0377684871
5678.0000000000,0.0379234753
5677.5000000000,0.0381301999
5677.0000000000,0.0383370084
5676.5000000000,0.0381301999
5676.0000000000,0.0375619095
5675.5000000000,0.0375102782
5675.0000000000,0.0382852984
5674.5000000000,0.0381301999
5674.0000000000,0.0381301999
5673.5000000000,0.0378201446
5673.0000000000,0.0378718073
5672.5000000000,0.0380785109
5672.0000000000,0.0376135460
5671.5000000000,0.0376135460
5671.0000000000,0.0365818100
5670.5000000000,0.0368911111
5670.0000000000,0.0384404443
5669.5000000000,0.0375102782
5669.0000000000,0.0375102782
5668.5000000000,0.0370974164
5668.0000000000,0.0378201446
5667.5000000000,0.0374070313
5667.0000000000,0.0372006004
5666.5000000000,0.0379234753
5666.0000000000,0.0374586521
5665.5000000000,0.0377684871
5665.0000000000,0.0379751486
5664.5000000000,0.0378201446
5664.0000000000,0.0375619095
5663.5000000000,0.0376651878
5663.0000000000,0.0373038054
5662.5000000000,0.0377168348
5662.0000000000,0.0378718073
5661.5000000000,0.0392168842
5661.0000000000,0.0381301999
5660.5000000000,0.0369426796
5660.0000000000,0.0367879899
5659.5000000000,0.0374070313
5659.0000000000,0.0377684871
5658.5000000000,0.0380785109
5658.0000000000,0.0378718073
5657.5000000000,0.0376135460
5657.0000000000,0.0374586521
5656.5000000000,0.0381818941
5656.0000000000,0.0375102782
5655.5000000000,0.0380785109
5655.0000000000,0.0376135460
5654.5000000000,0.0376651878
5654.0000000000,0.0376651878
5653.5000000000,0.0380268271
5653.0000000000,0.0380268271
5652.5000000000,0.0378201446
5652.0000000000,0.0382335936
5651.5000000000,0.0377168348
5651.0000000000,0.0378718073
5650.5000000000,0.0384404443
5650.0000000000,0.0396314706
5649.5000000000,0.0421782125
5649.0000000000,0.0518569746
5648.5000000000,0.1237222161
5648.0000000000,0.1454657251
5647.5000000000,0.0869764540
