Data from elevtemp28_1_mrosen_r2_290 nm__0__15-45-53-550.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:46:06.082	1729723566082	-0.03026
15:46:06.103	1729723566103	-0.03582
15:46:06.123	1729723566123	-0.0223
15:46:06.143	1729723566143	-0.0361
15:46:06.164	1729723566164	-0.03119
15:46:06.185	1729723566185	-0.03003
15:46:06.205	1729723566205	-0.02744
15:46:06.225	1729723566225	-0.0162
15:46:06.246	1729723566246	-0.03802
15:46:06.266	1729723566266	-0.03468
15:46:06.287	1729723566287	-0.03306
15:46:06.308	1729723566308	-0.02862
15:46:06.328	1729723566328	-0.02508
15:46:06.348	1729723566348	-0.03026
15:46:06.369	1729723566369	-0.02648
15:46:06.389	1729723566389	-0.03231
15:46:06.410	1729723566410	-0.03186
15:46:06.430	1729723566430	-0.02827
15:46:06.451	1729723566451	-0.0287
15:46:06.471	1729723566471	-0.03023
15:46:06.492	1729723566492	-0.03146
15:46:06.512	1729723566512	-0.02097
15:46:06.533	1729723566533	-0.03176
15:46:06.553	1729723566553	-0.02832
15:46:06.574	1729723566574	-0.03314
15:46:06.594	1729723566594	-0.03351
15:46:06.615	1729723566615	-0.02741
15:46:06.635	1729723566635	-0.02729
15:46:06.655	1729723566655	-0.02335
15:46:06.676	1729723566676	-0.03231
15:46:06.696	1729723566696	-0.03021
15:46:06.717	1729723566717	-0.02754
15:46:06.737	1729723566737	-0.02655
15:46:06.758	1729723566758	-0.02903
15:46:06.778	1729723566778	-0.0353
15:46:06.799	1729723566799	-0.02961
15:46:06.819	1729723566819	-0.02615
15:46:06.840	1729723566840	-0.02749
15:46:06.862	1729723566862	-0.02566
15:46:06.881	1729723566881	-0.03632
15:46:06.901	1729723566901	-0.03334
15:46:06.922	1729723566922	-0.02804
15:46:06.942	1729723566942	-0.03071
15:46:06.963	1729723566963	-0.03069
15:46:06.983	1729723566983	-0.03515
15:46:07.004	1729723567004	-0.03036
15:46:07.024	1729723567024	-0.03647
15:46:07.045	1729723567045	-0.0357
15:46:07.065	1729723567065	-0.02769
15:46:07.085	1729723567085	-0.02599
15:46:07.106	1729723567106	-0.02673
15:46:07.126	1729723567126	-0.03129
15:46:07.147	1729723567147	-0.03129
15:46:07.167	1729723567167	-0.02961
15:46:07.188	1729723567188	-0.03528
15:46:07.208	1729723567208	-0.03374
15:46:07.229	1729723567229	-0.03441
15:46:07.249	1729723567249	-0.03296
15:46:07.270	1729723567270	-0.03071
15:46:07.291	1729723567291	-0.03069
15:46:07.311	1729723567311	-0.02996
15:46:07.331	1729723567331	-0.02706
15:46:07.352	1729723567352	-0.02089
15:46:07.372	1729723567372	-0.03535
15:46:07.393	1729723567393	-0.02409
15:46:07.413	1729723567413	-0.02371
15:46:07.433	1729723567433	-0.0233
15:46:07.454	1729723567454	-0.02541
15:46:07.474	1729723567474	-0.03847
15:46:07.495	1729723567495	-0.03251
15:46:07.515	1729723567515	-0.02683
15:46:07.536	1729723567536	-0.02855
15:46:07.556	1729723567556	-0.02988
15:46:07.577	1729723567577	-0.0291
15:46:07.597	1729723567597	-0.02961
